D,L,O,SC,MP,SE,MO,SW,ST,SQ
5,5,13,0,1,0.5,4,0,5000,1
5,4,10,2,2,0,4,0,5000,1
4,3,15,0,1,0,4.5,0,5000,1
5,4,14,0,2,0,4.5,0,5000,1
5,5,10,0,0,0,4.5,0,5000,1
5,5,10,0,0,0,4.5,0,14080,1
4,4,15,0,0,0,4.5,0,5000,1
5,4,9,0,0,0,4.5,0,5000,1
5,2,11,0,0,0,4.5,0,5000,1
6,3,14,0,0,0,4.5,0,5000,2
6,3,13,0,1,0,4.5,0,5000,2
4,3,16,0,1,0,4,0,5000,1
5,3,14,0,1,0,4.5,0,5000,2
6,2,13,0,0,0,4.5,0,5000,2
4,4,2,0,0,0,4.5,0,5000,1
4,3,2,0,0,0,4.5,0,5000,1
5,4,14,50,2,0,4.5,0,5000,1
6,4,14,2,1,0,4.5,0,5000,1
6,5,12,2,1,0,4.5,0,5000,0
5,4,14,1,1,0,4,0,5000,1
7,4,10,0,1,0,4,0,5000,2
8,6,9,2,2,0,4,0,5000,2
7,3,5,0,1,0,4.5,0,5000,2
6,2,14,0,1,0,4,0,5000,2
6,3,13,0,0,0,4.5,0,5000,1
6,4,10,0,0,0,4.5,0,5000,1
6,3,8,0,0,0,4.5,0,5000,2
5,3,14,0,0,0,4.5,0,5000,1
6,2,5,0,2,0,4.5,0,14080,2
6,3,2,0,0,0,4,0,5000,1
3,9,7,0,0,0,4,0,5000,0
4,5,14,0,0,0,4.5,0,5000,1
4,4,12,0,0,0,4.5,0,5000,1
5,4,13,0,0,0,4.5,0,5000,1
6,3,13,5,0,0,4,0,5000,1
5,3,15,10,0,0,4,0,5000,1
4,5,8,0,0,0,4,0,5000,1
6,4,13,0,0,0,3.5,0,5000,1
5,4,10,0,0,0,3.5,0,5000,1
6,4,10,0,0,0,3.5,0,5000,1
5,4,10,0,0,0,4,0,5000,1
5,4,9,0,1,0,4,0,14080,1
8,4,11,0,3,0,3.5,0,5000,2
8,2,7,0,2,0,4,0,5000,2
6,3,13,5,3,0,4,0,5000,1
7,2,12,0,0,0,4.5,0,5000,2
6,3,12,0,0,0,4,0,5000,1
7,2,10,0,2,0,4.5,0,5000,2
6,2,15,0,0,0,4,0,5000,1
5,6,10,0,2,0,3.5,0,5000,0
5,4,10,0,1,0,3.5,0,5000,1
6,2,15,0,0,0,3.5,0,5000,2
5,3,14,0,1,0,3.5,0,5000,1
5,3,12,0,0,0,4,0,5000,1
5,3,16,2,1,0,3.5,0,5000,1
5,4,13,2,1,0,4,0,5000,1
6,5,7,0,3,0,4,0,21120,1
6,4,5,0,1,0,4.5,0,30000,1
6,3,11,20,0,0,4,0,5000,1
5,3,14,0,2,0,4,0,5000,1
6,3,10,0,0,0,4.5,0,5000,1
6,3,12,3,0,0,4.5,0,5000,1
5,3,15,0,0,0,4.5,0,5000,1
6,4,11,0,1,0,4.5,0,5000,1
6,3,4,0,0,0,4,0,5000,1
6,3,12,0,1,0,4,0,5000,1
6,1,15,0,2,0,4,0,5000,1
6,2,12,0,0,0,3.5,0,5000,1
6,2,14,1,0,0,4,0,5000,1
4,3,14,0,1,0,4,0,14080,0
5,4,10,0,2,0,3.5,0,5000,1
6,4,9,0,2,0,4,0,5000,2
6,3,13,3,0,0,4,0,5000,2
6,3,12,0,0,0,4.5,0,5000,1
5,3,13,0,0,0,4.5,0,5000,1
6,3,11,0,1,0,4.5,0,5000,1
4,4,11,1,0,0,4.5,0,5000,0
5,5,5,3,2,0,4.5,0,5000,1
7,3,3,0,0,0,4.5,0,5000,2
6,2,5,0,1,0,4.5,0,30000,2
6,3,10,0,2,0,4.5,0,5000,1
4,6,10,0,1,0,4.5,0,5000,0
0,4,0,0,0,0,4.5,0,5000,2
8,3,0,0,0,0,4.5,0,5000,2
5,5,0,0,0,1.5,4.5,0,5000,1
5,1,1,0,0,1,4.5,0,5000,1
5,5,1,0,0,0.5,4.5,0,5000,1
4,6,1,0,0,1.5,4.5,0,5000,0
7,2,1,0,0,1,4.5,0,5000,1
7,2,1,0,0,0,4.5,0,5000,2
7,2,1,0,0,0,4.5,0,5000,2
5,10,6,0,0,0,4,0,5000,0
5,7,2,0,1,0,4,0,5000,1
5,2,16,0,0,0,4,0,5000,1
7,3,10,0,1,0,3.5,0,5000,2
6,2,10,0,1,0,4.5,0,14080,2
6,2,11,1,0,0,4.5,0,5000,2
6,3,9,0,0,1,4.5,0,5000,1
7,5,4,0,1,0,4.5,0,14080,1
6,5,6,0,2,0,4.5,0,5000,1
6,3,14,0,1,0,4.5,0,5000,1
6,2,13,0,1,0,4.5,0,5000,2
5,3,14,0,1,0,4.5,0,5000,1
5,4,15,0,1,0,4.5,0,5000,0
4,5,9,0,0,0,4.5,0,5000,0
5,4,8,0,1,1.5,4.5,0,5000,1
6,2,12,0,1,0,4.5,0,5000,1
6,3,11,0,2,0,4.5,0,5000,2
6,3,13,0,0,0,4.5,0,5000,2
4,5,11,0,0,0,4.5,0,5000,0
6,4,8,0,0,1,4,0,5000,1
4,6,12,4,1,0,4.5,0,5000,0
7,3,7,0,2,0,4.5,0,5000,2
6,4,10,0,2,0,4.5,0,5000,2
6,3,14,1,0,0,4.5,0,5000,2
5,2,15,1,0,0,4.5,0,5000,1
5,2,12,3,0,0,5,0,5000,1
3,5,14,3,0,0,4.5,0,5000,0
6,2,12,2,0,0,5,0,5000,1
6,3,7,0,0,0,4.5,0,14080,1
7,4,9,0,0,0,4.5,8,5000,2
6,2,12,0,0,0,4.5,0,5000,2
5,3,12,0,1,0,4.5,0,5000,1
6,2,12,0,1,0,4.5,0,5000,1
6,2,15,0,0,0,4.5,0,5000,2
6,3,12,0,2,0,4.5,0,5000,1
6,3,13,0,2,0,4,12,5000,1
6,3,13,0,1,0,4.5,0,5000,1
5,3,12,0,0,0,4.5,0,5000,1
6,3,12,0,1,0,4.5,10,5000,1
6,2,11,0,0,0,4.5,0,5000,1
5,2,14,0,0,0,4,0,5000,0
7,4,10,0,0,0,4.5,12,5000,1
6,4,6,0,2,0,4.5,0,21120,1
6,4,7,0,2,0,4.5,7,8500,1
6,1,13,0,0,0,4.5,0,8500,1
6,1,12,0,0,0,4.5,0,5000,1
6,3,11,0,0,0,4.5,0,5000,1
6,3,13,0,0,0,4.5,0,5000,1
6,3,13,0,0,0,4.5,0,5000,2
5,2,13,0,2,0,4,0,5000,1
6,4,11,0,2,0,4.5,0,5000,1
5,4,12,0,0,0,4.5,7,5000,0
7,2,13,0,0,0,4.5,0,5000,1
6,3,12,0,0,0,4.5,8,5000,1
6,1,13,3,0,0,4.5,0,5000,1
3,6,15,0,2,1,4.5,0,5000,0
7,4,12,0,2,0,4.5,10,5000,1
6,3,5,0,1,0,4.5,0,28000,1
6,3,13,1,1,0,4.5,9,5000,2
4,4,14,0,0,0,4.5,7,5000,0
7,2,11,0,1,0,4.5,0,5000,1
5,3,11,0,0,0,4,0,14000,1
5,4,12,0,1,0,4.5,14,5000,1
6,3,7,2,2,0,4,0,5000,1
5,4,9,0,0,0,4.5,0,5000,1
6,3,13,0,0,0,4.5,0,5000,2
7,1,15,0,0,0,4.5,5,5000,1
6,3,13,0,0,0,4.5,0,5000,1
6,2,12,0,0,0,4.5,0,5000,1
5,3,13,0,0,0,4.5,14,5000,1
6,2,3,0,0,0,4.5,0,21120,1
6,2,5,0,1,0,4.5,0,5000,1
6,2,12,0,0,0,4.5,0,5000,1
6,3,10,0,2,0,4.5,19,5000,1
6,2,14,0,0,0,4.5,0,5000,1
5,4,13,0,0,0,4.5,0,5000,1
6,2,14,0,0,0,4.5,0,5000,2
6,2,13,0,3,0,4,0,5000,2
6,2,6,0,0,0,4.5,0,5000,2
5,2,12,2,2,0,4.5,5,5000,1
5,3,12,0,0,0,4,0,5000,0
6,3,13,0,0,0,4.5,0,5000,1
6,2,11,0,0,0,4.5,0,5000,2
5,2,17,1,0,1,4.5,0,5000,1
3,6,13,0,2,0.5,4.5,0,5000,0
7,2,15,0,2,0,4.5,0,5000,2
2,6,13,0,0,0,4.5,0,5000,0
8,3,13,0,0,0,4.5,0,5000,2
2,6,16,0,1,0,4.5,0,5000,0
6,2,15,0,1,0,4.5,0,5000,1
6,3,9,0,0,0,4.5,0,14000,2
7,1,6,0,0,2,4.5,0,5000,2
5,5,7,0,0,1,4.5,0,5000,1
7,2,6,0,0,0,4.5,0,21120,2
3,5,11,0,0,0,4.5,0,14000,0
7,2,14,0,0,0,4.5,15,5000,2
5,2,14,0,0,0,4.5,0,5000,1
6,1,14,0,0,0,4.5,0,5000,1
5,4,6,2,0,1,4.5,0,5000,1
5,2,3,0,0,3,4.5,0,5000,1
6,3,9,2,0,0,4.5,0,14000,2
6,2,13,0,0,0,4.5,0,5000,2
5,4,15,0,0,0,4.5,0,5000,1
5,3,12,0,0,2.5,4.5,0,5000,1
5,3,14,0,0,0,4.5,0,5000,1
5,2,1,0,0,0,4.5,0,28000,1
5,3,7,0,2,0,4.5,0,14000,1
5,3,14,0,0,0,4.5,0,5000,1
5,3,4,0,0,0,4.5,0,5000,1
6,2,7,0,0,0,4.5,0,5000,1
7,2,15,0,1,0,4,0,5000,2
6,4,12,0,1,0,4,0,5000,1
6,5,8,0,2,0,4,0,5000,1
4,4,15,0,0,0,4.5,0,5000,1
1,7,0,0,0,0,4.5,0,5000,0
4,5,0,0,0,0,4.5,0,5000,2
4,5,0,0,0,0,4.5,0,5000,1
4,4,0,0,0,0,4.5,0,5000,2
3,5,0,0,0,0,4.5,0,5000,1
3,5,0,0,0,0,4.5,0,5000,1
3,5,0,0,0,0,4.5,0,5000,1
2,6,0,0,0,0,4.5,0,5000,0
2,6,0,0,0,0,4.5,0,5000,0
2,6,0,0,0,0,4.5,0,5000,0
3,5,0,0,0,0,4.5,0,5000,1
3,5,0,0,0,0,4.5,0,5000,2
5,3,0,0,0,0,4.5,0,5000,1
3,5,4,0,0,0,4.5,0,5000,1
3,6,9,0,2,0,4.5,0,5000,1
6,4,9,0,1,0,4.5,0,5000,1
6,1,8,0,3,0,4.5,0,5000,1
7,4,9,0,1,0,4.5,0,5000,2
5,3,5,0,0,0,4.5,0,5000,1
6,2,0,2,0,0,4.5,0,5000,2
7,3,8,2,0,0,4.5,0,5000,2
6,1,12,0,0,0,4.5,0,5000,2
2,4,11,0,0,0,4.5,0,5000,0
7,2,9,0,0,1,4.5,0,5000,2
6,3,10,0,0,1,4.5,0,5000,2
5,3,10,0,0,0,4.5,0,5000,1
1,7,0,0,0,0,4.5,0,5000,0
6,1,0,0,0,0,4,5,5000,1
7,1,1,0,0,0,3,5,5000,1
5,4,10,0,0,1,4,0,5000,1
6,2,9,0,2,1,4.5,0,5000,1
6,4,14,0,0,0,4.5,0,5000,1
6,3,10,0,0,0,4.5,0,5000,1
5,6,2,0,0,0,4.5,0,5000,0
0,7,9,0,0,0,4.5,0,5000,0
9,3,8,0,0,0.5,4.5,0,5000,2
6,5,9,0,1,0,4.5,0,5000,1
7,3,12,0,0,0,4.5,0,5000,2
6,4,11,0,0,0,4.5,0,5000,1
5,3,11,0,0,1,4.5,0,5000,1
4,5,12,2,1,0,4.5,0,5000,1
6,2,6,0,0,0,4.5,0,14000,2
7,2,4,1,0,2,4.5,0,21120,2
4,5,12,3,1,0,4.5,0,5000,1
4,4,10,0,0,0,4.5,0,5000,1
5,4,13,0,0,0,4.5,0,5000,1
6,4,12,0,1,0,4.5,0,5000,1
3,6,2,1,0,0,4.5,0,5000,0
6,3,8,0,0,2,4.5,0,5000,1
4,5,10,0,0,1,4.5,0,5000,0
5,4,14,2,0,0,4.5,0,5000,1
5,4,13,0,0,0,4.5,0,5000,1
5,4,12,0,0,0,4.5,12,5000,1
5,3,12,0,0,0,4.5,0,5000,1
3,5,8,0,1,0,4,0,5000,0
7,1,12,0,1,0,4.5,0,5000,2
7,1,12,0,0,0,4,0,5000,2
7,2,13,0,0,0,4.5,10,5000,2
6,3,10,0,0,0,4.5,0,5000,1
5,3,14,3,1,0,4.5,0,5000,1
6,3,9,0,0,0,4.5,0,5000,1
4,5,8,0,2,1,4.5,0,5000,0
6,2,10,0,0,0,5,0,5000,1
7,1,16,0,2,0,4.5,0,5000,2
7,2,13,3,1,0,4.5,10,5000,2
6,2,12,0,0,0,4.5,0,5000,1
6,3,11,2,0,0,4.5,0,5000,2
4,4,12,0,1,0,4.5,0,5000,0
5,4,12,0,1,0,4.5,15,5000,1
6,2,4,0,0,0,4.5,0,21120,2
6,3,11,0,0,0,4,0,5000,2
6,3,9,0,0,0,4.5,0,5000,1
6,3,13,0,0,0,4.5,0,5000,1
5,4,13,0,0,0,4.5,0,5000,1
5,3,13,0,0,0,4.5,0,5000,1
6,3,7,0,0,0,4.5,0,14000,2
6,4,10,0,1,1.5,4,0,5000,2
7,1,12,0,0,0,4.5,21,5000,2
5,3,13,0,0,0,4,10,5000,1
3,5,13,0,1,1,4.5,0,5000,0
5,4,10,0,1,0,4,0,5000,1
6,2,10,0,0,0,4.5,0,5000,2
4,5,12,0,1,1,4.5,0,14000,1
5,2,13,0,0,0,4.5,0,5000,1
6,1,12,0,0,0,4.5,0,5000,1
5,3,12,0,0,0,4.5,0,5000,1
6,2,9,0,0,0,4.5,0,5000,1
6,2,14,1,0,0,4.5,12,5000,2
5,3,11,1,0,0,4.5,0,5000,1
5,5,14,1,0,1,4.5,0,5000,1
5,5,12,0,1,0,4.5,0,5000,1
3,6,10,0,0,0,4.5,0,5000,0
6,3,14,1,2,0,4,0,5000,1
5,3,13,1,0,0,4.5,0,5000,1
5,3,11,0,1,0,4.5,0,5000,1
4,4,11,0,0,0,4,0,14000,1
6,4,7,1,0,2,4.5,0,5000,1
5,3,6,0,1,1,4.5,0,5000,2
5,3,11,2,0,0,4.5,15,5000,1
5,3,10,0,0,0,4,0,5000,1
5,3,14,5,0,0,4,0,5000,1
5,3,11,0,0,0,4.5,0,14000,1
5,3,13,0,0,0,4,0,5000,2
5,3,4,0,0,0,4,0,28000,2
6,4,10,0,0,2,4.5,0,5000,2
6,3,11,0,0,0,4,0,5000,2
6,3,14,1,2,0,4.5,0,5000,1
6,3,12,0,1,0,4.5,0,5000,1
5,3,14,6,1,1,4.5,0,5000,1
4,5,12,0,0,0,4.5,0,14000,1
5,5,11,2,1,0,4.5,0,5000,1
5,4,7,0,0,0,4.5,0,21120,0
6,2,12,0,0,0,4.5,0,5000,1
7,2,11,4,2,0,4.5,17,5000,2
4,4,10,0,0,0,4.5,0,5000,1
5,4,9,0,0,0,4,0,14000,1
5,2,14,4,0,0,4,0,5000,1
7,2,9,0,0,1,4.5,0,5000,2
7,2,10,0,1,1,4.5,0,5000,2
5,4,9,2,0,0,4.5,0,14000,1
6,4,9,0,1,0,4.5,0,5000,2
6,2,11,0,1,0,4.5,3,5000,2
6,1,15,0,0,0,4.5,0,5000,2
7,2,11,0,0,0,4.5,0,12500,2
6,4,11,0,0,0,4,0,14000,2
5,4,4,0,0,1.5,4.5,0,23000,1
5,3,10,0,1,1,4.5,18,12500,1
5,4,12,2,2,0,4.5,0,4028,1
5,4,11,0,0,0,4.5,0,41300,1
5,3,12,1,0,0,4.5,20,2000,1
5,5,13,0,0,0,4.5,0,5000,1
5,2,8,0,0,0,4.5,0,25000,2
6,2,11,0,1,0,4.5,0,6200,2
6,2,14,5,1,0,4.5,0,4600,2
7,3,12,0,0,0,4.5,7,4500,2
5,4,8,0,0,0,4.5,0,12100,1
5,3,11,0,0,1,4.5,0,23600,1
4,4,8,0,0,0,4.5,0,12000,1
6,4,10,0,0,0,4.5,0,9100,1
6,2,0,0,0,1,4.5,0,56000,1
5,6,8,2,0,1,4.5,0,6000,1
5,3,12,0,2,0,4.5,0,6400,1
7,3,11,0,1,0,4.5,3,7388,1
6,2,10,0,0,0,4.5,0,15720,2
6,2,14,0,0,0,4.5,0,5888,2
7,2,3,0,0,0,4.5,0,12750,2
7,2,11,1,1,0,4,0,13337,2
6,2,10,0,0,0,4.5,0,11330,2
5,4,11,0,1,0,4,7,4904,0
5,3,11,0,0,0,4.5,0,6098,1
4,3,15,0,0,0,4.5,0,4152,0
5,3,13,0,0,0,4,0,12740,1
4,3,12,0,0,1,4,0,8054,0
5,5,6,0,2,0,4.5,0,26500,1
6,1,12,0,0,0,4,0,8800,2
6,3,12,0,0,0,4.5,15,5600,2
5,4,13,0,0,0,4.5,0,15800,1
4,4,15,0,2,0,4.5,0,5500,1
6,3,8,0,0,0,4.5,0,21400,2
