D,L,O,SC,MP,SE,MO,SW,ST,SQ
4,4,15,5,1,0.5,4.5,0,5000,1.21
5,4,14,10,0,0,4.5,0,5000,1.21
5,3,15,5,3,0,4.5,0,5000,1.21
6,3,14,20,0,0,4.5,0,5000,1.21
6,3,14,5,2,0,4.5,0,5000,1.21
6,4,13,10,2,0,4.5,0,5000,1.21
7,5,11,15,2,0,4.5,0,5000,1.21
6,5,12,15,1,0,4,0,5000,1.21
5,5,13,40,2,0,3.5,0,5000,1.21
4,4,15,5,1,0,4,0,5000,1.21
5,5,13,5,1,0,4.5,0,5000,1.21
6,2,15,5,2,0,4.5,0,5000,1.21
6,4,10,5,0,0,4.5,0,5000,1.21
6,3,11,30,3,0,4.5,0,5000,1.21
5,5,14,25,1,0,4.5,0,5000,1.21
5,4,15,5,0,0,4.5,0,5000,1.21
5,5,14,10,1,0,4.5,0,5000,1.21
5,5,14,20,1,0,4.5,0,5000,1.21
5,5,14,15,2,0,4.5,0,5000,1.21
4,4,16,5,0,0,4.5,0,5000,1.21
5,6,13,5,0,2,4.5,0,5000,1.21
3,8,13,5,0,2,4.5,0,5000,1.21
4,3,17,20,2,0,4.5,0,5000,1.21
5,6,13,30,1,0,4.5,0,5000,1.21
6,3,15,15,1,0,4.5,0,5000,1.21
6,3,15,55,1,0,4.5,0,5000,1.21
5,3,16,5,1,1,4.5,0,5000,1.21
5,6,8,5,1,1.5,4.5,0,5000,1.21
7,3,14,25,1,0,4.5,0,5000,1.21
7,4,13,5,2,0,4.5,0,5000,1.21
5,4,15,10,1,0,4.5,0,5000,1.21
6,2,16,5,0,0,4.5,0,5000,1.21
4,5,15,25,1,0,4.5,0,5000,1.21
4,3,17,5,1,0,4.5,0,5000,1.21
5,5,14,20,1,0,4.5,0,5000,1.21
6,4,14,30,1,0,4.5,0,5000,1.21
6,3,15,15,0,0,4.5,0,5000,1.21
6,2,16,15,1,0,4.5,0,5000,1.21
7,3,14,5,0,0,4.5,0,5000,1.21
6,3,15,5,1,0,4.5,0,5000,1.21
5,3,16,5,0,1.5,4.5,0,5000,1.21
4,6,14,5,2,0.5,4.5,0,5000,1.21
6,4,14,5,1,0,4.5,0,5000,1.21
4,3,17,10,0,0,4.5,0,5000,1.21
5,4,15,10,1,0,4.5,0,5000,1.21
5,3,16,15,1,0,5,0,5000,1.21
5,4,15,15,2,0,4.5,0,5000,1.21
5,3,16,5,1,0,4.5,0,5000,1.21
6,4,14,20,1,0,4,0,5000,1.21
6,4,14,5,0,1,3.5,0,5000,1.21
4,7,13,25,0,0,4,0,5000,1.21
5,4,15,10,1,0,3.5,0,5000,1.21
6,5,10,5,1,0,4,0,5000,1.21
6,4,12,5,0,0,4.5,0,5000,1.21
4,4,11,5,1,0,4.5,0,5000,1.21
6,4,12,5,2,0,4.5,0,5000,1.21
6,4,10,5,2,0,4,0,5000,1.21
7,3,12,30,0,0,3.5,0,5000,1.21
5,4,14,10,2,0,4,0,5000,1.21
6,4,13,5,1,0,4.5,0,5000,1.21
5,4,14,5,0,0,4.5,0,5000,1.21
4,4,16,5,0,1.5,4.5,0,5000,1.21
5,4,9,5,1,1,4.5,0,5000,1.21
5,4,10,20,1,0,4.5,0,5000,1.21
4,4,16,20,1,0,4.5,0,5000,1.21
5,6,12,15,1,0,4.5,0,5000,1.21
6,3,14,20,0,0,4.5,0,5000,1.21
5,4,13,15,0,1,4.5,0,5000,1.21
6,4,11,5,0,1.5,4.5,0,5000,1.21
6,5,10,35,1,0,4.5,0,5000,1.21
5,6,10,15,1,0,4.5,0,5000,1.21
5,3,11,15,0,0,4,0,5000,1.21
